   Update      Virtual      Symbol Name      Decimal   

              A000_A230  ADCReadings                   
                A000_A978  [466]                      428
                A000_A97C  [467]                      423
                A000_A980  [468]                      427
                A000_A984  [469]                      426
                A000_A988  [470]                      422
                A000_A98C  [471]                      426
                A000_A990  [472]                      427
                A000_A994  [473]                      427
                A000_A998  [474]                      425
                A000_A99C  [475]                      424
                A000_A9A0  [476]                      428
                A000_A9A4  [477]                      424
                A000_A9A8  [478]                      427
                A000_A9AC  [479]                      427
                A000_A9B0  [480]                      423
                A000_A9B4  [481]                      428
                A000_A9B8  [482]                      427
                A000_A9BC  [483]                      428
                A000_A9C0  [484]                      427
                A000_A9C4  [485]                      424
                A000_A9C8  [486]                      428
                A000_A9CC  [487]                      425
                A000_A9D0  [488]                      428
                A000_A9D4  [489]                      428
                A000_A9D8  [490]                      423
                A000_A9DC  [491]                      428
                A000_A9E0  [492]                      428
                A000_A9E4  [493]                      428
                A000_A9E8  [494]                      426
                A000_A9EC  [495]                      425
                A000_A9F0  [496]                      429
                A000_A9F4  [497]                      426
                A000_A9F8  [498]                      429
                A000_A9FC  [499]                      427
                A000_AA00  [500]                      423
                A000_AA04  [501]                      428
                A000_AA08  [502]                      428
                A000_AA0C  [503]                      426
                A000_AA10  [504]                      425
                A000_AA14  [505]                      423
                A000_AA18  [506]                      426
                A000_AA1C  [507]                      423
                A000_AA20  [508]                      424
                A000_AA24  [509]                      424
                A000_AA28  [510]                      419
                A000_AA2C  [511]                      423
                A000_AA30  [512]                      424
                A000_AA34  [513]                      422
                A000_AA38  [514]                      420
                A000_AA3C  [515]                      419
                A000_AA40  [516]                      423
                A000_AA44  [517]                      421
                A000_AA48  [518]                      423
                A000_AA4C  [519]                      423
                A000_AA50  [520]                      417
                A000_AA54  [521]                      422
                A000_AA58  [522]                      423
                A000_AA5C  [523]                      422
                A000_AA60  [524]                      421
                A000_AA64  [525]                      419
                A000_AA68  [526]                      423
                A000_AA6C  [527]                      421
                A000_AA70  [528]                      421
                A000_AA74  [529]                      422
                A000_AA78  [530]                      416
                A000_AA7C  [531]                      422
                A000_AA80  [532]                      422
                A000_AA84  [533]                      421
                A000_AA88  [534]                      419
                A000_AA8C  [535]                      419
                A000_AA90  [536]                      423
                A000_AA94  [537]                      421
                A000_AA98  [538]                      422
                A000_AA9C  [539]                      422
                A000_AAA0  [540]                      416
                A000_AAA4  [541]                      421
                A000_AAA8  [542]                      423
                A000_AAAC  [543]                      421
                A000_AAB0  [544]                      420
                A000_AAB4  [545]                      417
                A000_AAB8  [546]                      421
                A000_AABC  [547]                      421
                A000_AAC0  [548]                      420
                A000_AAC4  [549]                      420
                A000_AAC8  [550]                      415
                A000_AACC  [551]                      422
                A000_AAD0  [552]                      423
                A000_AAD4  [553]                      419
                A000_AAD8  [554]                      420
                A000_AADC  [555]                      417
                A000_AAE0  [556]                      422
                A000_AAE4  [557]                      420
                A000_AAE8  [558]                      419
                A000_AAEC  [559]                      422
                A000_AAF0  [560]                      416
                A000_AAF4  [561]                      421
                A000_AAF8  [562]                      423
                A000_AAFC  [563]                      419
                A000_AB00  [564]                      420
                A000_AB04  [565]                      418
                A000_AB08  [566]                      422
                A000_AB0C  [567]                      420
                A000_AB10  [568]                      419
                A000_AB14  [569]                      421
                A000_AB18  [570]                      416
                A000_AB1C  [571]                      420
                A000_AB20  [572]                      423
                A000_AB24  [573]                      418
                A000_AB28  [574]                      420
                A000_AB2C  [575]                      419
                A000_AB30  [576]                      421
                A000_AB34  [577]                      421
                A000_AB38  [578]                      420
                A000_AB3C  [579]                      420
                A000_AB40  [580]                      416
                A000_AB44  [581]                      420
                A000_AB48  [582]                      422
                A000_AB4C  [583]                      418
                A000_AB50  [584]                      420
                A000_AB54  [585]                      417
                A000_AB58  [586]                      421
                A000_AB5C  [587]                      420
                A000_AB60  [588]                      420
                A000_AB64  [589]                      421
                A000_AB68  [590]                      415
                A000_AB6C  [591]                      421
                A000_AB70  [592]                      422
                A000_AB74  [593]                      418
                A000_AB78  [594]                      420
                A000_AB7C  [595]                      419
                A000_AB80  [596]                      421
                A000_AB84  [597]                      420
                A000_AB88  [598]                      420
                A000_AB8C  [599]                      421
                A000_AB90  [600]                      417
                A000_AB94  [601]                      421
                A000_AB98  [602]                      422
                A000_AB9C  [603]                      417
                A000_ABA0  [604]                      421
                A000_ABA4  [605]                      420
                A000_ABA8  [606]                      420
                A000_ABAC  [607]                      420
                A000_ABB0  [608]                      420
                A000_ABB4  [609]                      422
                A000_ABB8  [610]                      418
                A000_ABBC  [611]                      421
                A000_ABC0  [612]                      423
                A000_ABC4  [613]                      418
                A000_ABC8  [614]                      421
                A000_ABCC  [615]                      421
                A000_ABD0  [616]                      421
                A000_ABD4  [617]                      422
                A000_ABD8  [618]                      421
                A000_ABDC  [619]                      423
                A000_ABE0  [620]                      420
                A000_ABE4  [621]                      422
                A000_ABE8  [622]                      423
                A000_ABEC  [623]                      419
                A000_ABF0  [624]                      422
                A000_ABF4  [625]                      421
                A000_ABF8  [626]                      422
                A000_ABFC  [627]                      422
                A000_AC00  [628]                      421
                A000_AC04  [629]                      423
                A000_AC08  [630]                      420
                A000_AC0C  [631]                      422
                A000_AC10  [632]                      423
                A000_AC14  [633]                      419
                A000_AC18  [634]                      422
                A000_AC1C  [635]                      422
                A000_AC20  [636]                      421
                A000_AC24  [637]                      422
                A000_AC28  [638]                      421
                A000_AC2C  [639]                      424
                A000_AC30  [640]                      420
                A000_AC34  [641]                      422
                A000_AC38  [642]                      424
                A000_AC3C  [643]                      419
                A000_AC40  [644]                      423
                A000_AC44  [645]                      423
