   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_DB58  [658]                      361
                A000_DB5C  [659]                      362
                A000_DB60  [660]                      359
                A000_DB64  [661]                      361
                A000_DB68  [662]                      363
                A000_DB6C  [663]                      359
                A000_DB70  [664]                      361
                A000_DB74  [665]                      361
                A000_DB78  [666]                      361
                A000_DB7C  [667]                      361
                A000_DB80  [668]                      360
                A000_DB84  [669]                      361
                A000_DB88  [670]                      359
                A000_DB8C  [671]                      361
                A000_DB90  [672]                      363
                A000_DB94  [673]                      358
                A000_DB98  [674]                      362
                A000_DB9C  [675]                      361
                A000_DBA0  [676]                      361
                A000_DBA4  [677]                      362
                A000_DBA8  [678]                      361
                A000_DBAC  [679]                      363
                A000_DBB0  [680]                      359
                A000_DBB4  [681]                      361
                A000_DBB8  [682]                      363
                A000_DBBC  [683]                      359
                A000_DBC0  [684]                      363
                A000_DBC4  [685]                      361
                A000_DBC8  [686]                      361
                A000_DBCC  [687]                      362
                A000_DBD0  [688]                      361
                A000_DBD4  [689]                      363
                A000_DBD8  [690]                      360
                A000_DBDC  [691]                      361
                A000_DBE0  [692]                      363
                A000_DBE4  [693]                      359
                A000_DBE8  [694]                      363
                A000_DBEC  [695]                      363
                A000_DBF0  [696]                      360
                A000_DBF4  [697]                      362
                A000_DBF8  [698]                      362
                A000_DBFC  [699]                      364
                A000_DC00  [700]                      360
                A000_DC04  [701]                      361
                A000_DC08  [702]                      364
                A000_DC0C  [703]                      359
                A000_DC10  [704]                      364
                A000_DC14  [705]                      363
                A000_DC18  [706]                      360
                A000_DC1C  [707]                      362
                A000_DC20  [708]                      361
                A000_DC24  [709]                      364
                A000_DC28  [710]                      360
                A000_DC2C  [711]                      361
                A000_DC30  [712]                      363
                A000_DC34  [713]                      359
                A000_DC38  [714]                      364
                A000_DC3C  [715]                      363
                A000_DC40  [716]                      360
                A000_DC44  [717]                      362
                A000_DC48  [718]                      361
                A000_DC4C  [719]                      364
                A000_DC50  [720]                      360
